cluster,gene,score,logfoldchange,pval,pval_adj,pct_expr
-1,PEX10,2.3426275,-0.089769036,0.019148485996129394,0.6455111501435133,0.16666666666666666
-1,PPME1,2.3426275,-1.6306678,0.019148485996129394,0.6455111501435133,0.16666666666666666
-1,TP53RK,2.3426275,-0.8196355,0.019148485996129394,0.6455111501435133,0.0
-1,TUBGCP3,2.3426275,0.34475976,0.019148485996129394,0.6455111501435133,0.16666666666666666
-1,SEMA4D,2.3424697,2.529577,0.019156593690300743,0.6455111501435133,0.0
-1,MAPK10,2.3379416,2.903307,0.01939027547914063,0.6518868302138608,0.16666666666666666
-1,MBOAT7,2.3321235,2.7398674,0.01995136875464651,0.6661755196297204,0.16666666666666666
-1,TPM1,2.3283947,4.259597,0.01989116189661584,0.6581461098786238,0.0
-1,TSEN2,2.3283947,3.9518297,0.01989116189661584,0.6581461098786238,0.16666666666666666
-1,VWA3A,2.3265526,2.0007951,0.019989087548708276,0.6581461098786238,0.0
-1,STXBP5,2.3247082,2.4087865,0.020087570221072864,0.6581461098786238,0.3333333333333333
-1,RANGAP1,2.3191915,3.100807,0.020384659154379533,0.6581461098786238,0.16666666666666666
-1,TNNI1,2.3191915,3.9287198,0.020384659154379533,0.6581461098786238,0.16666666666666666
-1,EMC1,2.3144672,2.463991,0.02064211046044709,0.6620832716175786,0.16666666666666666
-1,KIF1B,2.3130786,2.6943898,0.020718311312906745,0.6627447395048326,0.0
-1,USO1,2.3110423,2.2041104,0.020830519004000608,0.6627447395048326,0.0
-1,FUT11,2.3099883,2.4101562,0.020888802677802746,0.6627447395048326,0.0
-1,ANGPT4,2.297828,2.9390428,0.021571588464455258,0.6778189873361458,0.0
-1,POP4,2.2974145,1.8973616,0.02159513351657662,0.6778189873361458,0.3333333333333333
-1,SF3A2,2.2927554,2.8145642,0.021862091521610533,0.6781574687915697,0.16666666666666666
-1,PYROXD1,2.2918253,3.6025,0.021915728044576935,0.6781574687915697,0.0
-1,MRPL17,2.291582,2.3669906,0.021929774881102742,0.6781574687915697,0.0
-1,FLRT1,2.2826104,3.3322184,0.02245332447131112,0.6889561162435767,0.16666666666666666
-1,ACP1,2.282379,1.8600132,0.022466982096086073,0.6889561162435767,0.0
-1,AAR2,2.2731757,2.1567287,0.023015592641410877,0.6970300763177699,0.16666666666666666
-1,ACAD11,2.2731757,1.8138466,0.023015592641410877,0.6970300763177699,0.0
-1,ACAT1,2.2731757,1.8442153,0.023015592641410877,0.6970300763177699,0.16666666666666666
-1,METAP2,2.2712114,1.9889649,0.023134190022700493,0.6991772316551419,0.0
-1,BDH1,2.2639725,1.2138668,0.023575801126167577,0.7011213685061678,0.16666666666666666
-1,CEP78,2.2613094,4.241425,0.023740106861748576,0.7011213685061678,0.0
